NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PPV00103;PROPILVEN;PPV-A-0203-01-02;CATALISIS, PROPILENO, CURSO,;GONZALEZ, EDGAR;;;CURSO DE CATµLISIS DE POLIPROPILENO;INFORME TECNICO;2003;"SUMARIZAR LOS ASPECTOS MAS
RESALTANTES RELACIONADOS CON LOS SISTEMAS CATALITICOS Y PROCESOS INDUSTRIALES, UTILIZADOS PARA LA
POLIMERIZACI‡N DE OLEFINAS,
HACIENDO ENFASIS EN LA CUARTA
GENERACI‡N DE CATALIZADORES
ZIEGLER-NATTA, CATEGORIA EN LA CUAL SE INCLUYE EL CATALIZADOR TK, CENTRO NEURAL DE LA TECNOLOGIA
MITSUI UTILIZADA POR PROPILVEN.";INFORMES/PROPILVEN/2003/IN03117.PDF;
PPV00104;PROPILVEN;PPV-S-010401-02;PP, EXTRA÷BLES, HUMO, B325,;GUASTAFERRO, FRANCO;;;"DETERMINACI‡N DE LA FRACCI‡N MµXIMA EXTRAIBLES EN HEXANO 
A TRES MUESTRAS DE PP";INFORME TECNICO;2004;DETERMINAR LA FRACCI‡N MµXIMA EXTRAIBLE EN N-HEXANO A 3 MUESTRAS DE POLIPROPILENO SUMINISTRADAS POR PROPILVEN.;INFORMES/PROPILVEN/2004/IN04073.PDF;
PPV00105;PROPILVEN;PPV-A-0105-02-02;CURVA, REOMETR÷A, PP,;GUTIERREZ, EDGAR;;;CURVA DE FLUIDEZ;INFORME TECNICO;2005;REALIZAR REOMETR÷A CAPILAR A 230 Y 250 ¯C A PP 2352A.;INFORMES/PROPILVEN/2005/IN05051.PDF;
PPV00106;PROPILVEN;PPV-A-0106-02-01;IF, POLIPROPILENO, INDICE DE FLUIDEZ,;SOTO, WOLFGANG;;;DETERMINACI‡N DEL ÷NDICE DE FLUIDEZ;INFORME TECNICO;2006;DETERMINAR EL ÷NDICE DE FLUIDEZ A SIETE (7) MUESTRAS DE POLIPROPILENO SUMINISTRADAS POR PROPILVEN.;INFORMES/PROPILVEN/2006/IN06019.PDF;
PPV00107;PROPILVEN;PPV-A-0107-01-04;Antiest†ticos, Propilven;MARTINEZ, RAFAEL;;;EVALUACI‡N DE SISTEMAS ALTERNOS DE ADITIVOS PARA PROPILVEN : AGENTES ANTIESTµTICOS;INFORME TECNICO;2007;;informes/PROPILVEN/2007/IN07065A.pdf;
PPV00108;PROPILVEN;PPV-A-0508-03-01;CORDELES, TENSI‡N, ENVEJECIMIENTO, COLOR;G‡MEZ, PATRICIA;;;CORDELES MALLAS DEPORTIVA - CORP. NARBE;INFORME TECNICO;2008;"SOMETER CORDELES, ELABORADOS CON DIFERENTES FORMULACIONES DE ANTIUV, A ENVEJECIMIENTO
PARA DETERMINAR SUS PROPIEDADES Y ELEGIR LA COMBINACI‡N MµS ADECUADA PARA ESTA APLICACI‡N.";INFORMES/PROPILVEN/2008/IN08013.PDF;PROPILVEN
PPV00109;PROPILVEN;PPV-A-0509-02-01;Dise§o, molde, lavamanos, sif¢n;LINARES, JESUS. FUENMAYOR, JESUS. MARIN LUIS. JUAN D. RINCON;;;MOLDE SIF‡N LAVAMANOS;INFORME TECNICO;2009;;informes/PROPILVEN/2009/IN09041.pdf;
PPV00110;PROPILVEN;PPV-A-0510-02-02;IMPRESORAS, DISE•O, MOLDE, PROTOTIPO, SIMULACI‡N, LLENADO, INYECCI‡N,;"LINARES, JESUS; FUENMAYOR, JESUS";;;CARCASAS  µVILA TECHNOLOGIES;INFORME TECNICO;2010;DISE•AR UN MOLDE PARA CARCASAS DE IMPRESORAS FISCALES ELABORADAS CON PP, PARA LA EMPRESA µVILA TECHNOLOGIES.;INFORMES/PROPILVEN/2010/IN10050.PDF;
PPV00111;PROPILVEN;PPV-A-0411-02-01;TRIGONOX, PPV, F502, PROPILVEN,;SOTO, WOLFGANG;;;PER‡XIDO TRIGONOX 301-20PP;INFORME TECNICO;2011;PREPARAR MUESTRAS CON PER‡XIDO TRIGONOX 301-20PP PARA QUE PROPILVEN EVALÈE SI ES HOMOTIPO DEL PER‡XIDO ACTUALMENTE UTILIZADO EN PLANTA.;INFORMES/PROPILVEN/2011/IN11036.PDF;
PPV00112;PROPILVEN;PPV-FP-0112-02-01;PROPILVEN, FRACCI‡N MµXIMA DE SOLUBLES EN XILENO, EXTRA÷BLES, N-HEXANO, J440,;PENICHET, IGNACIO;;;PERMISOS SANITARIOS J440 PROPILVEN;INFORME TECNICO;2012;DETERMINAR LA FRACCI‡N MµXIMA DE SOLUBLES EN XILENO Y EXTRA÷BLES EN N-HEXANO A UNA MUESTRA DE J440 (COPOL÷MERO PROPILENO ETILENO).;INFORMES/PROPILVEN/2012/IN12100.PDF;
PPV00113;PROPILVEN;PPV-PL-0213-01-02;M&I, Propilven, OTS;BERMUDEZ, JEAN. ANDRADE, DUNEXI.;SS 13112;;Simulador para el Entrenamiento de Operadores Propilven ? Secci¢n 200;INFORME TECNICO;2013;Elaborar plan para desarrollar un simulador de Entrenamiento para Operadores (OTS) de la Secci¢n 200 de PPV.;\informes\PROPILVEN\2013\IN13112.PDF;
PPV00114;PROPILVEN;PPV-FP-0114-01-01;Polipropileno, permisos sanitarios, copolimero de impacto.;Betsy Mart°nez;SS: 14162;;Permisos Sanitarios de 5 grados de PP;INFORME TECNICO;2014;"Determinar la fracci¢n m†xima de solubles en xileno y extra°bles en n-hexano a cinco (5)
muestras de polipropileno (PP) para verificar si cumplen las normas Covenin con el fin de
renovar los respectivos permisos sanitarios.";\informes\Propilven\2014\IN14162.PDF;
PPV00115;PROPILVEN;PPV-ME-0215-01-01;"PP, inyecci¢n, par†metros, 
molde, cavidades, condiciones 
de procesamiento, temperatura, 
presi¢n de llenado, grados de 
inyecci¢n";"Jorge Sanchez";"SS:15179";;"OPTIMIZACI‡N DE CONDICIONES DE 
INYECCI‡N DE PROBETAS DE 
POLIPROPILENO";INFORME TECNICO;2015;Optimizar las condiciones de inyecci¢n a siete grados de PP en la inyectora del laboratorio de Propilven.;informes\Propilven\2015/In15179.pdf;
PPV00189;PROPILVEN;PPV;PROCESAMIENTO, PROPIEDADES, REOLOGICAS, FISICAS, E;PROPILVEN;;;EVALUACION COMPARATIVA DE POLIPROPILENOS OBTENIDOS POR LOS PROCESOS SPHERIPOL Y CONVENCIONAL;INFORME TECNICO;1989;EVALUACION COMPARATIVA DE POLIPROPILENOS OBTENIDOS POR LOS PROCESOS SPHERIPOL Y CONVENCIONAL.;INFORMES/PROPILVEN/1989/IN00189.PDF;
PPV001894;PROPILVEN;PPV-S-01;CONFORMIDAD, PRECISION, EXACTITUD, SENSIBILIDAD, C;ARNAL, DENIS;;;AUDITORIA DEL METODO DE DETERMINACION DE LA RESISTENCIA AL IMPACTO IZOD EN PP;;1994;"ESTE INFORME PRESENTA LOS RESULTADOS DE LA AUDITORIA DEL METODO DE ""DETERMINACION DE RESISTENCIA AL IMPACTO IZOD EN PP (MPPV-POL-19)"" UTILIZADO EN EL LABORATORIO DE CONTROL DE CALIDAD DE PROPILVEN.";documentone.htm;PROPILVEN
PPV001994;PROPILVEN;PPV-S-01;CLASIFICACION, HOMOPOLIMERO, MOLDEO, SOPLADO, INYE;ARNAL, DENIS;;;NORMA VENEZOLANA POLIPROPILENO. ANTEPROYECTO;;1994;EL ANTEPROYECTO DE NORMA DE POLIPROPILENO ES UNA PROPUESTA DESTINADA A LA APROBACION DE COVENIN. EN ESTA SE SE•ALAN LAS DEFINICIONES, CLASIFICACION Y REQUISITOS DEL POLIPROPILENO PRODUCIDO EN PROPILVEN.;documentone.htm;PROPILVEN
PPV00200;PROPILVEN;PPV-S-0100-01-02;DETERMINACION, IMPACTO, IZOD, RESISTENCIA, IMPACTOMETRO, PP,;MANAURE, ARELI;;;DETERMINACI‡N DE LA RESISTENCIA AL IMPACTO IZOD DE MUESTRAS DE PP J743;INFORME TECNICO;2000;DETERMINAR LA RESISTENCIA AL IMPACTO IZOD A CUATRO MUESTRAS DE POLIPROPILENO DE PROPILVEN, GRADO J743 DE DIFERENTES LOTES.;INFORMES/PROPILVEN/2000/IN00119.PDF;PROPILVEN
