NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
;Polinter;;;;;;;INFORME TECNICO;2015;;gbermudez\Desktop\a/Aire Sintetico. A-27267-A.pdf;
AATCC-0001;;;;"COPYRIGHT American Association of Textile Chemists & Colorists
Licensed by Information Handling Services";AATCC;;AATCC 23-99 Colorfastness to Burnt Gas Fumes;NORMA;1999;;INFORMES\NORMAS\AATCC\AATCC 23-99.PDF;INDESCA
AATCC-0002;;;;"Copyright The American Association of Textile Chemists and Colorists
Provided by IHS under license with AATCC";AATCC;;AAtCC 164-2001 Colorfastness to Oxides of Nitrogen in the Atmosphere Under High Humidities;NORMA;2001;;INFORMES\NORMAS\AATCC\AAtCC 164-2001.PDF;INDESCA
ASME-0001;;;;"Copyright ASME International
Provided by IHS under license with ASME";ASME;;ASME Y14.41-2003 Digital Product Definition Data Practice;NORMA;2003;;INFORMES\NORMAS\ASME\ASME Y14-41-2003.PDF;INDESCA
CNF00113;CNF;CNI-I-0513-07-06;Propiedades mec†nicas, pel°culas, temperatura sub ambiente, mezclas, PELBD/PEBD, EVA, mPELBD, Kraton, PEAD 7000F, PEBD FB3003, PELBD 11PG1.;SANCHEZ, DANIEL;SS 13326;;Ensayos de pel°culas a temperatura sub ambiente;INFORME TECNICO;2013;Explicar el comportamiento no esperado de pel°culas ensayadas a temperatura sub-ambiente.;\INFORMES\CNI\2013\IN13326.PDF;
CNF00114;CNF;CNF-I-0114-05-04;automatizaci¢n, dedicaci¢n, proyectada, aplicaciones, Excel, VBA;Agust°n Torres;SS: 14118;;Automatizaci¢n proyecci¢n de dedicaci¢n;INFORME TECNICO;2014;"Desarrollar un macro en VBA para automatizar el proceso de llenado de la proyecci¢n de
dedicaci¢n";\informes\CNI\2014\IN14118.PDF;
CNF00115;CNF;CNF-M1-0315-04-02;"Corrosi¢n, potenciostato, 
adiestramiento.";"Adel Nader";"SS:15235";;"AIT: Adiestramiento en la 
aplicaci¢n, an†lisis y 
ejecuci¢n de las tÇcnicas 
electroqu°micas aplicadas a la 
corrosi¢n.";INFORME TECNICO;2015;Impartir a GÇnesis Marcano y Gabriela S†nchez el adiestramiento en la aplicaci¢n, an†lisis y ejecuci¢n de las tÇcnicas electroqu°micas aplicadas a la corrosi¢n.;informes\CNI\2015/IN15235.pdf;
CNF00213;CNF;CNF-I-0313-01-02;capacitaci¢n, impacto, creep, modelaje, flexibilidad, tuber°a, caesar, nastran;BOHORQUEZ, JOEL;SS 13372;;Capacitaci¢n a personal de Aplicaciones en competencias de Joel Boh¢rquez;INFORME TECNICO;2013;Transferir, de Joel Boh¢rquez a personal seleccionado del Dpto. de Aplicaciones, 3 competencias espec°ficas (modelaje de impacto, uso del equipo de medici¢n de Creep, uso del programa Caesar II).;\INFORMES\CNI\2013\IN13372.PDF;
CNF00214;CNF;CNF-I-0214-11-02;SHA, incidentes, accidentes, ACR, prevenci¢n, Transformaci¢n, Aplicaciones;Agustin Torres;SS: 14109;;ACR- Incidentes en ST 2013;INFORME TECNICO;2014;Analizar la situaci¢n de seguridad en la secci¢n de Transformaci¢n de Aplicaciones mediante un An†lisis de Causa-Ra°z (ACR) y proponer un plan de acci¢n basado en este an†lisis;\informes\CNI\2014\IN14109.PDF;
CNF00313;CNF;CNF-I-0513-03-01;auditor°a, recertificaci¢n, ISO, 9001, gu°a, responsable, calidad, sistema, gesti¢n;TORRES, AGUSTIN;SS: 13481;;Auditor°a externa de recertificaci¢n;INFORME TECNICO;2013;Acompa§ar al auditor externo asignado por Fondonorma para realizar la auditor°a de recertificaci¢n ISO 9001:2008 de noviembre 2013 y atender en cada unidad organizativa a sus preguntas en el marco de esta auditor°a.;\INFORMES\CNF\2013\IN13481.PDF;
CNF00314;CNF;CNF-I-0114-05-08;"mÇtodo; stage; gate; 
planificaci¢n, proyecto, 
incertidumbre, inversi¢n, 
valoraci¢n";AGUSTIN TORRES;SS: 14214;;"Gesti¢n de Proyectos v°a 
Stage-Gate";INFORME TECNICO;2014;Preparar y dictar un curso que introduzca a los lectores y asistentes al mÇtodo Stage-Gate de gesti¢n de la incertidumbre de los proyectos.;\informes\CNI\2014\IN14214.PDF;
CNF00413;CNF;CNF-I-0513-03-04;MRI, Estabilidad, Homogeneidad, FB3003.;MariajosÇ Pineda;SS: 13441;;Homogeneidad y l°mites de control PEBD FB3003;INFORME TECNICO;2013;"Cumplir con los requisitos de verificaci¢n de equipos y mÇtodos en el Dpto. de Aplicaciones,
mediante la creaci¢n de un material de referencia interno (MRI) a partir de un PEBD
comercial de Polinter seg£n los est†ndares de la ISO Guide 35 y la ISO 5725.";\informes\CNI\2013\IN13441.PDF;
CNF00414;CNF;CNF-I-0114-05-05;"SPI, CONTABILIDAD, CUENTAS 
CONTABLES, REGLAS CONTABLES, 
INTERFAZ";IRONU BONG;SS: 14198;;"Interfaz de n¢mina a 
Contabilidad";INFORME TECNICO;2014;Realizar  an†lisis  de  todas  las  partidas  contables  que  componen  la  n¢mina  de  la  empresa para  ser  codificadas  dentro  del  sistema  de  n¢mina  (SPI)  y  tengan  una  relaci¢n  electr¢nica directa en el cierre de cada mes para lograr contabilizar el gasto de cada una de las mismas.;\informes\CNI\2014\IN14198.PDF;
CNF00513;CNF;CNF-I-1013-01-02;MR, Poliestireno, Homogeneidad, Estabilidad, L°mites de control;Luisana Suarez;SS: 13135;;Apoyo en asegu-ramiento de la ca-lidad;INFORME TECNICO;2013;"Contribuir al establecimiento de los esquemas necesarios, para la ejecuci¢n de los procedimientos
de verificaci¢n en el Laboratorio de ESTIZULIA, de conformidad con los requisitos
tÇcnicos de la norma ISO 9001:2008.";\informes\CNI\2013\IN13135.PDF;
CNF00514;CNF;CNF-I-0114-05-06;"Brabender, instalaci¢n, 
adiestramiento";JESUS FUENMAYOR;SS: 14205;;"Instalaci¢n y Puesta en 
Funcionamiento del Nuevo 
Brabender";INFORME TECNICO;2014;Instalar y poner en funcionamiento el nuevo equipo Brabender.;\informes\CNI\2014\IN14205.PDF;
CNF00613;CNF;CNF-I-1053-04-02;simulaci¢n, carga tÇrmica, galp¢n Transformaci¢n, Aire acondicionado;Iliana Morales;SS: 13158;;Ingenier°a Conceptual para un A/A en el galp¢n de Transformaci¢n;INFORME TECNICO;2013;"Desarrollar, con la ayuda de un pasante de Ing. Mec†nica, la ingenier°a conceptual de este
proyecto y un estimado de los costos del mismo, para la correspondiente valoraci¢n.";\informes\CNI\2013\IN13158.PDF;
CNF00614;CNF;CNF-I-0114-05-16;"auditoria, ISO, 9001, 
mantenimiento, 
documentaci¢n, sistema, 
gesti¢n, calidad, integrado";AGUSTIN TORRES;SS: 14397;;"Auditor°a externa de 
mantenimiento seg£n ISO 
9001:2008";INFORME TECNICO;2014;Atender la Auditor°a Externa de Mantenimiento seg£n ISO 9001:2008 mediante el acompa§amiento al auditor externo asignado por Fondonorma para realizar la auditor°a de mantenimiento ISO 9001:2008 de  septiembre  2014  y  atender  en  cada  unidad  organizativa  a  sus  preguntas  en  el  marco  de  esta auditor°a.;\informes\CNI\2014\IN14397.PDF;
CNF00713;CNF;CNF-I-0313-01-03;Adiestramiento;Kelly Pernia;SS: 13496;;Capacitaci¢n a personal de procesos en competencias de Luis Villalobos;INFORME TECNICO;2013;Transferir, de Luis Villalobos a personal seleccionado del Dpto. de Procesos, conocimientos y competencias espec°ficas.;\informes\CNI\2013\IN13496.PDF;
CNF00714;CNF;CNF-I-0114-05-14;Validaci¢n, Malvern, termomath;MARIA SANCHEZ;SS: 14395;;"VALIDACI‡N DE MêTODOS DE 
ENSAYO.  DETERMINACI‡N DE LA 
ESTABILIDAD TêRMICA DE 
RESINAS DE PVC.";INFORME TECNICO;2014;Se  requiere  un  estudio  con  el  fin  de  estimar  la  precisi¢n  en  condiciones  de  repetibilidad  y precisi¢n  intermedia  e  incertidumbre  tipo  A,  del  ensayo  de  INDESCA  ?Determinaci¢n  de  la Estabilidad TÇrmica de Resinas de PVC?. Este tipo de estudio est† definido en el apartado 8.2 de  la  norma  ISO  5725-3  (1994)y  en  la  Cl†usula  4.2  de  la  Gu°a  para  Expresi¢n  de  la Incertidumbre de las Mediciones, JCGM 100:2008;\informes\CNI\2014\IN14395.PDF;
CNF00813;CNI;CNF-I-0513-02-02;Validaci¢n, Humedad Hexano-Ciclohexano, BET.;Ver¢nica Gonz†lez/Luis Virla;SS: 13301;;VALIDACI‡N DE MêTODOS DE ENSAYO DE PROCESOS, PLAN 2013. VALIDACI‡N DE MêTODO PARA DETERMINACI‡N DE µREA SUPERCICIAL ESPEC÷FICA BET Y VOLUMEN DE PORO, DE CATALIZADORES, SOPORTES Y ADSORBENTES. BAJA µREA SUPERFICIAL.;INFORME TECNICO;2013;Identificar y evaluar los par†metros de validaci¢n para el conjunto de mÇtodos de ensayo utilizados actualmente por el Departamento de Procesos, plan 2013.;\informes\CNI\2013\IN13301.PDF;
CNF00814;CNF;CNF-I-0114-05-01;"verificaci¢n, equipos, mÇtodos, 
SIG, ISO, 9001";"Agustin Torres";"SS:14110";;"Verificaci¢n de equipos de
Aplicaciones (a§o 2014)";INFORME TECNICO;2014;"Ejecutar las verificaciones de equipos, sistemas e instrumentos en custodia por el Departamento
de Aplicaciones.";informes\CNI\2014/In14110.pdf;
CNF00913;CNI;CNF-I-1013;Fertilizantes, Catalizador, Caracterizaci¢n, Coque, Reformaci¢n primaria;Luis Virla;SS: 13242;;Evaluaci¢n tÇcnico-econ¢mica de catalizadores de Amoniaco;INFORME TECNICO;2013;"Reducir costos de operaci¢n. Mejorar la calidad de los productos; contribuir a asegurar la operaci¢n continua de las plantas de Fertilizantes. Alcance 2012-2013: Caracterizaci¢n f°sico-qu°mica de muestras no v°rgenes. Premisa: Soberan°a tecnol¢gica.";\informes\CNI\2013\IN13424.PDF;
CNF00914;CNF;CNF-I-0114-05-13;"predictor, PELBD, PEBD, 
pel°cula, propiedades, 
procesamiento";"Jesus Fuenmayor";"SS:14362";;"Predictor de
Propiedades de
Pel°culas de PELBD y
PEBD";INFORME TECNICO;2014;"Desarrollar un algoritmo que permita predecir y optimizar las propiedades mec†nicas y
¢pticas de pel°culas pl†sticas de PELBD y PEBD.";informes\CNI\2014/In14362.pdf;
CNF01013;CNI;CNF-I-0513-04-13;Ba§o termost†tico, PEAD, sistema piloto, proyecto de mejora.;"Anibal Mor†n
Carlos Ortega";SS: 13394;;ACTUALIZACI‡N TECNOL‡GICA DE LABORATORIO DE S÷NTESIS PILOTO DE PEAD;INFORME TECNICO;2013;"Dotar al laboratorio piloto de PEAD de un nuevo ba§o para control de temperatura del
reactor, que permita eliminar los problemas relacionados con el mantenimiento y
seguimiento del sistema HAAKE, actualmente en operaci¢n.";\informes\CNI\2013\IN13394.PDF;
CNF01014;CNF;CNF-I-0114-05-10;mezclado, transformaci¢n;"Jesus Fuenmayor";"SS:14278";;"Ingenier°a Conceptual µrea de 
Mezclado de Galp¢n de 
Transformaci¢n";INFORME TECNICO;2014;Realizar la Ing. conceptual del †rea de mezclado de Galp¢n de Transformaci¢n.;informes\CNI\2014/in14278.pdf;
CNF01114;CNF;CNF-I-0114-05-11;"Validaciones, mÇtodos, 
estad°stica, impacto de 
botellas, inyectabilidad, 
permeabilidad al ox°geno";"Iliana Morales";"SS:14337";;"Validaciones de mÇtodos Dpto. 
Aplicaciones 2014";INFORME TECNICO;2014;Efectuar las validaciones de los mÇtodos de ensayo del departamento de Aplicaciones.;informes\CNI\2014/in14337.pdf;
CNF01214;CNF;CNF-I-0114-06-06;"Planificacion conjunta con el 
proveedor seleccionado.";"Ironu Bong";"SS:14238";;Programa anual de recreaci¢n;INFORME TECNICO;2014;Preparar el plan de recreaci¢n y ejecutarlo.;informes\CNI\2014/IN14238.pdf;
CNI00102;CNI;CNI-0502;OPTIMIZACION, PRODUCTOS, ROTOMOLDEO,;MORALES, ILIANA;;;"OPTIMIZACI‡N DE PRODUCTOS PARA ROTOMOLDEO. 
RESUMEN DE GESTI‡N A•O 2001";INFORME TECNICO;2002;PREPARAR UN RESUMEN (TEXTO Y PRESENTACI‡N) DE LOS LOGROS OBTENIDOS EN EL 2001 EN EL µREA DE ROTOMOLDEO.;INFORMES/CNI/2002/IN02044.PDF;
CNI00103;CNI;CNI-0503-01-08;EXTRUSION, PELICULA, POLIETILENO, CURSO,;"MENDEZ, FACUNDO; TORRES, AGUSTIN";;;EXTRUSI‡N DE PEL÷CULAS DE POLIETILENO;INFORME TECNICO;2003;;INFORMES/CNI/2003/IN03071.PDF;
CNI00104;CNI;CNI-0504-02-04;DISE•O, EXPERIMENTOS, ESTADISTICOS,;MARTINEZ, RAFAEL;;;"HERRAMIENTAS DE ANµLISIS
INTRODUCCI‡N AL DISE•O ESTAD÷STICO DE EXPERIMENTOS";INFORME TECNICO;2004;INVESTIGAR, DESARROLLAR Y PRESENTAR UN PROGRAMA DE HERRAMIENTAS DE ANµLISIS.;INFORMES/CNI/2004/IN04025.PDF;
CNI00110;CNI;CNI-0510-03-05;EVALUACION, HOMOGENEIDAD, PVC,;SANCHEZ, MARIA;;;EVALUACI‡N DE HOMOGENEIDAD DE PVC V-140, LOTE 4011093607-01;INFORME TECNICO;2010;DETERMINAR SI LA HOMOGENEIDAD DE UN LOTE DE PVC ES ADECUADA PARA SU USO COMO MATERIAL DE REFERENCIA (MR)..;INFORMES/CNI/2010/IN10247.PDF;
CNI00111;CNI;CNI-0511-07-01;INCONFORMIDAD, INFLEVECA-POLYBAGS, ASISTENCIA TECNICA,;GOMEZ, PATRICIA;;;INCONFORMIDAD INFLEVECA-POLYBAGS-POLINTER;INFORME TECNICO;2011;ATENDER EL RECLAMO PRESENTADO POR CORAMER CORRESPONDIENTE A RESULTADOS INCONSISTENTES SOBRE SELLABILIDAD EN DOS PROYECTOS DE ASISTENCIA TêCNICA A CLIENTES BAJO EL PROGRAMA DE PROYECTOS DE POLINTER.;INFORMES/CNI/2011/IN11218.PDF;
CNI00112;CNI;CNI-I-1012-03-02;DISE•O, PLANTA PILOTO, TRATAMIENTO QUIMICO, CORROSION, DEPOSITOS, INCRUSTACION,;NADER, ADEL;;;DISE•O DE UNA PLANTA PILOTO PARA EVALUACI‡N DE DESEMPE•O DE SISTEMAS DE TRATAMIENTO QU÷MICO CONTRA LA CORROSI‡N, DEP‡SITOS E INCRUSTACI‡N;INFORME TECNICO;2012;DISPONER DE UN SISTEMA PILOTO PARA EVALUAR SISTEMAS DE TRATAMIENTO QU÷MICO CONTRA LA CORROSI‡N, Y FORMACI‡N DE INCRUSTACIONES Y DEP‡SITOS EN LOS SISTEMAS DE SUMINISTRO DE AGUA DE ENFRIAMIENTO Y VAPOR DEL COMPLEJO.;INFORMES/CNI/2012/IN12103.PDF;
CNI00202;CNI;CNI-0502;CENTRO, TECNOLOGIA, INYECCION, PLASTICOS,;TORRES, AGUSTIN;;;CENTRO DE TECNOLOG÷A DE INYECCI‡N DE PLµSTICOS.;INFORME TECNICO;2002;"- MODELAR COMPUTACIONALMENTE LOS FEN‡MENOS DE TRANSPORTE (FLUJO DE FLUIDOS Y TRANSFERENCIA DE CALOR) DE POL÷MEROS FUNDIDOS A TRAVêS DE CANALES DE LLENADO DE CAVIDADES Y MOLDES, CON EL FIN DE OPTIMIZAR EL DISE•O Y OPERACI‡N COMERCIAL DE MOLDES. 
- OBTENER LAS HERRAMIENTAS PARA ANALIZAR LOS EFECTOS DE LAS PROPIEDADES REOL‡GICAS Y TêRMICAS DE LOS POL÷MEROS FUNDIDOS EN EL LLENADO Y ENFRIADO DE MOLDES Y DOMINAR SU USO. 
- ANALIZAR EL DESEMPE•O MECµNICO DE PIEZAS Y PARTES PLµSTICAS FABRICADAS POR INYECCI‡N EN SITUACIONES DE CARGAS Y USO NORMALES A FIN DE GARANTIZAR SU EFICIENCIA Y/O EXTENDER LOS RANGOS DE SERVICIO DE LAS MISMAS. 
- INTEGRAR LAS HERRAMIENTAS DE MODELAJE DEL LLENADO DE MOLDES Y DE MODELAJE DEL DESEMPE•O DE PIEZAS PARA CONJUGAR EN UN S‡LO CENTRO EL PROCESO DE SIMBIOSIS ENTRE MOLDE Y RESINA A TRAVêS DEL ANµLISIS DEL PROCESO CONJUNTO: INYECCI‡N-LLENADO Y ENFRIADO DEL MOLDE-DESEMPE•O DE LA PIEZA EN LAS APLICACIONES FINALES. 
- TRANSFERENCIA DE LA TECNOLOG÷A OBTENIDA A LOS USUARIOS FINALES (TRANSFORMADORES Y PRODUCTORES DE RESINA). 
- ESPECIFICAR LAS PROPIEDADES MOLECULARES, MECµNICAS, TêRMICAS, F÷SICAS Y REOL‡GICAS QUE PERMITAN DESARROLLAR EN LAS PLANTAS PRODUCTORAS, LAS RESINAS QUE REQUIERAN LOS TRANSFORMADORES EN EL DESARROLLO DE LAS NUEVAS APLICACIONES EN EL SEGMENTO DE MOLDEO POR INYECCI‡N. 
- ESTABLECER LA SIMBIOSIS ?MOLDE/RESINA? MEDIANTE LA INTEGRACI‡N DEL CONJUNTO OLEFINAS/PLµSTICOS A TRAVêS DEL USO DE HERRAMIENTAS COMPUTACIONALES SOFISTICADAS, QUE PERMITAN EL USO ESPEC÷FICO DE RESINAS Y MOLDES DETERMINADOS PARA GARANTIZAR LA FABRICACI‡N DE PIEZAS DE ALTO VALOR AGREGADO. ";INFORMES/CNI/2002/IN02179.PDF;
CNI00203;CNI;CNI-0903-01-02;ADITIVOS, PVC PC, PA,;TORRES, AGUSTIN;;;FLOW ADDITIVE VALUE;INFORME TECNICO;2003;EL OBJETIVO DE LA VISITA ES MOSTRAR A LA DIVISI‡N DE ADITIVOS DE JOHNSON WAX EL POTENCIAL DE CONTAR CON HERRAMIENTAS CAD PARA LA PRUEBA DE SUS PRODUCTOS, ANTES DE LA INTRODUCCI‡N EN LOS MERCADOS OBJETIVO, EN APLICACIONES REALES DE CLIENTES SELECCIONADOS Y OFRECER LOS SERVICIOS DE INDESCA COMO POTENCIAL PROVEEDOR.;INFORMES/CNI/2003/IN03221.PDF;
CNI00204;CNI;CNI-0504-04-01;PVT, ESPUMAS, PEBD, MCMASTER, MEZCLAS,;"TORRES, AGUSTIN; GUTIERREZ, EDGAR";;;PVTD ETERMINATION FOR FOAMED LDPE;INFORME TECNICO;2004;MEASURE THE PVT PROPERTIES TO THREE SAMPLES OF LDPE PROVIDED BY MCMASTER UNIVERSITY. TWO OF THEM ARE FOAMED LDPE AND THE THIRD IS A PURE LDPE.;INFORMES/CNI/2004/IN04215.PDF;
CNI00211;CNI;CNI-0511-07-02;FLEXI‡N, INCONFORMIDAD, TEJAS,;NORIEGA, WILLIAN;;;INCONFORMIDAD CASO FLEXI‡N TEJAS- INTERNO;INFORME TECNICO;2011;ATENDER EL RECLAMO PRESENTADO POR MAGDA CASTILLO CORRESPONDIENTE A RESULTADOS INCONSISTENTES DE LOS ENSAYOS DE FLEXI‡N DE TEJAS SOBRE PROBETAS ENVEJECIDAS.;INFORMES/CNI/2011/IN11219.PDF;
CNI00212;CNI;CNI-I-0512-07-03;TUBOS, PRESI‡N HIDROSTµTICA, CORRELACI‡N, TENSI‡N, RAMPA, INFORME, PASANTIA,;PINEDA, MARIAJOSE;;;ESTUDIO COMPARATIVO DE LA RESISTENCIA A LA RUPTURA POR INFORME DE PASANTIA: PRESI‡N HIDROSTµTICA EN TUBOS DE PE.;INFORME TECNICO;2012;EL PRESENTE INFORME SE REALIZ‡ PARA DAR A CONOCER LAS ACTIVIDADES EJECUTADAS EN LA EMPRESA INDESCA, A TRAVêS DE PASANT÷AS DIRIGIDAS EN EL DEPARTAMENTO DE APLICACIONES, SECCI‡N DE ANµLISIS F÷SICO. SE REALIZARON PRUEBAS DE RESISTENCIA DE PRESI‡N HIDROSTµTICA A DIFERENTES TEMPERATURAS EN TUBOS DE POLIETILENO DE DIFERENTES ESPESORES DE PARED,  Y  ENSAYOS DE TENSI‡N A LOS MISMOS TUBOS, CON EL EMPLEO DE UNA MµQUINA DE ENSAYOS UNIVERSALES, A LOS FINES DE COMPARAR Y ESTABLECER RELACIONES ENTRE LOS RESULTADOS ALCANZADOS EN AMBAS PRUEBAS. EL DESARROLLO DE ESTA PASANT÷A SE LOGR‡ CON êXITO GRACIAS AL USO DE LAS METODOLOG÷AS ADECUADAS PREVIAMENTE APRENDIDAS DURANTE LA CARRERA DE INGENIER÷A COMO LAS OBTENIDAS DURANTE LAS PASANT÷AS.;INFORMES/CNI/2012/IN12192.PDF;
CNI00302;CNI;CNI-05-PPV-01;RECOPILACION, INFORMACION, PRODUCTOS, GRADO, INYECCION, PROPILVEN,;GUTIERREZ, EDGAR;;;RECOPILACI‡N DE INFORMACI‡N RELACIONADA CON PRODUCTOS GRADO INYECCI‡N DE PROPILVEN;INFORME TECNICO;2002;RECOPILAR INFORMACI‡N SOBRE PROPIEDADES QU÷MICAS, F÷SICAS Y MECµNICAS DE MUESTRAS GRADOS INYECCI‡N DE PROPILVEN Y PROPILCO, EVALUADAS EN EL PROYECTO CONICIT.;INFORMES/CNI/2002/IN02160A.PDF;
CNI00303;CNI;CNI-0503-PPV-03;DESARROLLO, APLICACION, PUPITRES,;TORRES, AGUSTIN;;;"PROPUESTA DE TRABAJO 
DESARROLLO DE LA APLICACI‡N DE PUPITRES PLµSTICOS";INFORME TECNICO;2003;DISE•AR UN PUPITRE1 O SILLA ESCOLAR CUYOS COMPONENTE MAYORITARIO SEA EL PP PRODUCIDO POR PROPILVEN.;INFORMES/CNI/2003/IN03230.PDF;
CNI00311;CNI;CNI-A-0511-07-03;;MARIN, LUIS;;;INCONFORMIDAD TORNILLO PLASTISUR C.A;INFORME TECNICO;2011;ATENDER LA NO CONFORMIDAD DEL DISE•O DE UN TORNILLO DE EXTRUSION DE PLASTICO DISE•ADO POR INDESCA;INFORMES/CNI/2011/IN11223.PDF;
CNI00312;CNI;CNI-I-0512-07-07;PEBD, 8407, ACEITE MINERAL, MEZCLAS, ROTOMOLDEO, TIEMPO DE CICLO, PASANTIA,;OCANDO, ALBERTO;;;USO DE ACEITE MINERAL EN POLIETILENO GRADO ROTOMOLDEO;INFORME TECNICO;2012;"3.1 OBJETIVO GENERAL.
ANALIZAR LA FACTIBILIDAD TêCNICA DE UTILIZAR ACEITE MINERAL EN EL POLIETILENO GRADO ROTOMOLDEO, COMO UN ADITIVO DE BAJO PESO MOLECULAR ACELERADOR DE LA FUSI‡N, PARA EL LOGRO DE LA REDUCCI‡N DEL TIEMPO DE CICLO, SIN DETRIMENTO DE LAS PROPIEDADES F÷SICAS Y MECµNICAS DE LAS PIEZAS OBTENIDAS POR ROTOMOLDEO. 
3.2 OBJETIVOS ESPEC÷FICOS.
CUANTIFICAR LOS EFECTOS ASOCIADOS A LA INCORPORACI‡N DE ACEITE MINERAL SOBRE EL TIEMPO DE CICLO Y LAS PROPIEDADES F÷SICAS (COLOR) DE LAS PIEZAS ROTOMOLDEADAS USANDO EL POLIETILENO  (PE) VENELENE 8407.";INFORMES/CNI/2012/IN12208.PDF;
CNI00402;CNI;CNI-05PPV-01;;GUTIERREZ, EDGAR;;;RECOPILACION DE INFORMACION RELACIONADA CON PRODUCTOS GRADOS INYECCION DE PROPILVEN;INFORME TECNICO;2002;RECOPILAR INFORMACION SOBRE PROPIEDADES QUIMICAS, FISICAS Y MECANICAS DE MUESTRAS GRADOS INYECCION DE PROPILVEN Y PROPILCO, EVALUADAS EN EL PROYECTO CONICIT.;INFORMES/CNI/2002/IN02160B.PDF;
CNI00411;CNI;CNI-0511-01-04;PET, C&S, TECNOLOGIAS,;"ORTEGA, CARLOS; VILLALOBOS, LUIS";;;APOYO EN LA VISUALIZACI‡N PARA MONTAJE DE PLANTA DE PET;INFORME TECNICO;2011;APOYAR AL GRUPO PEQUIVEN ? PRALCA EN LA VISUALIZACI‡N TECNO-ECON‡MICA PARA EL MONTAJE DE UNA PLANTA DE POLIETILEN TEREFTALATO (PET) APROVECHANDO LAS FACILIDADES DE PRALCA EN CUANTO A PRODUCTOS Y SERVICIOS.;INFORMES/CNI/2011/IN11227a.PDF;
CNI00412;CNI;CNI-I-0512-04-08;DISPOSICI‡N, DESECHOS LIQUIDOS, AQ, RIESGOS EN TRANSPORTE, SHA,;PENICHET, IGNACIO;;;REDUCCI‡N DE RIESGOS EN EL MANEJO DE DESECHOS L÷QUIDOS;INFORME TECNICO;2012;REVISAR EL PROCESO DE DISPOSICI‡N DE DESECHOS L÷QUIDOS EN ANµLISIS QU÷MICO (AQ), IDENTIFICAR RIESGOS E IMPLANTAR ACCIONES DE MEJORA DE ESTE PROCESO.;INFORMES/CNI/2012/IN12184.PDF;
CNI00511;CNI;CNI-0511-01-04;PET, C&S, TECNOLOGIAS,;"ORTEGA, CARLOS; VILLALOBOS, LUIS";;;APOYO EN LA VISUALIZACI‡N PARA MONTAJE DE PLANTA DE PET;INFORME TECNICO;2011;APOYAR AL GRUPO PEQUIVEN ? PRALCA EN LA VISUALIZACI‡N TECNO-ECON‡MICA PARA EL MONTAJE DE UNA PLANTA DE POLIETILEN TEREFTALATO (PET) APROVECHANDO LAS FACILIDADES DE PRALCA EN CUANTO A PRODUCTOS Y SERVICIOS.;INFORMES/CNI/2011/IN11227b.PDF;
CNI00512;CNI;CNI-0512-04-10;†rea, equipos, servicios, plano, seguridad, almacen, aditivos;SANCHEZ, JORGE;SOLICITUD 12186;;Ingenier°a Conceptual del †rea de mezclado de Transformaci¢n;INFORME TECNICO;2012;Elaborar las ingenier°as conceptual y b†sica del †rea de mezclado del galp¢n de Transformaci¢n.;\INFORMES\CNI\2012\IN12186.PDF;
CNI00611;CNI;"CNI&#8208;0511&#8208;05&#8208;02";VALIDACION, TPP, PRECISION, REPETIBILIDAD, PRECISION INTERMEDIA,;SUAREZ, LUISANA;;;"OPTIMIZACI‡N DEL MêTODO PARA
ANµLISIS DE TAMA•O DE PART÷CULAS EN RESINAS DE PVC TIPO SUSPENSI‡N MEDIANTE LA TêCNICA DE TAMIZADO S‡NICO";INFORME TECNICO;2011;"ESTIMAR LA PRECISI‡N, EN TêRMINOS DE REPETIBILIDAD Y PRECISI‡N INTERMEDIA, DEL MêTODO DE ENSAYO DE TPP PARA PVC, Y EVALUAR LA FACTIBILIDAD DE MEJORARLA MEDIANTE EL USO DEL ANTIESTµTICO
HI-SIL.";INFORMES/CNI/2011/IN11282.PDF;
CNI00612;CNI;CNI-I-0512-04-20;nuevo servicio, dise§o de cabezal, mejora;CASTILLO, MAGDA;SOLICITUD 12320;;Nuevo Servicio Dise§o de Cabezales;INFORME TECNICO;2012;Analizar la conveniencia y, en caso positivo, planificar el proyecto de desarrollo del servicio de dise§o de cabezales de extrusi¢n de perfiles.;\INFORMES\CNI\2012\IN12320.PDF;
CNI00711;CNI;CNI-0511-01-05;PLANTA DE PRODUCCION,  DIMETIL, ETER, DME,;ORTEGA, CARLOS;;;PLANTA DE PRODUCCI‡N DE DIMETIL ETER (DME);INFORME TECNICO;2011;APOYAR AL GRUPO DE LA GERENCIA DE PLANIFICACI‡N ESTRATêGICA DE PEQUIVEN EN LA VISUALIZACI‡N TECNO-ECON‡MICA (GENERACI‡N DEL DSD-1) PARA EL MONTAJE DE UNA PLANTA DE PRODUCCI‡N DE DIMETIL êTER.;INFORMES/CNI/2011/IN11261.PDF;
